('BF', 0)      [0.0, 0.0006, 0.0016, 0.4415, 0.5632, 0.9996, 2.0076]
('GS', 0)      [0.0, 0.0, 0.0017, 0.127, 0.0146, 0.9469, 1635.7352]
('IDP', 0)     [0.0055, 0.0006, 0.0502, 0.0149, 0.9525, 0.0456, 201.6128]
('IDP', 1)     [0.015, 0.0024, 0.1411, 0.0181, 0.989, 0.0189, 701.3929]
('IDP', 2)     [0.0775, 0.0273, 0.3508, 0.0781, 0.9971, 0.0046, 2794.9957]
('IDP', 3)     [0.0005, 0.0006, 0.0064, 0.1057, 0.7361, 0.3553, 22.4029]
('IDR', 0)     [0.0004, 0.0004, 0.0339, 0.0171, 0.8655, 0.6278, 72.5954]
('IDR', 1)     [0.0005, 0.0007, 0.1028, 0.0087, 0.9365, 0.5924, 223.9414]
('IDR', 2)     [0.002, 0.0017, 0.2687, 0.007, 0.9908, 0.6914, 606.534]
('IDR', 3)     [0.0001, 0.0004, 0.0044, 0.1259, 0.7456, 0.7779, 12.365]
('TN', 25)     [0.0009, 0.0007, 0.0066, 0.1232, 0.8466, 0.2498, 15.9457]
('TN', 50)     [0.0005, 0.0007, 0.0034, 0.2379, 0.6594, 0.4997, 10.0683]
('TN', 75)     [0.0, 0.0007, 0.0023, 0.3433, 0.8231, 0.7496, 6.4716]
